normalized,raw,definition_fr
AALBORG,Aalborg,"Ville du nord du Danemark, chef-lieu de la région administrative du Jutland-du-Nord."
AAR,Aar,"Rivière de Suisse, le plus long affluent du Rhin, aussi orthographiée Aare."
AARAU,Aarau,"Commune du nord de la Suisse, chef-lieu du canton d'Argovie."
AARON,Aaron,"1) Personnage de la Bible, frère aîné de Moïse et premier grand prêtre des Hébreux. 2) Prénom masculin d'origine hébraïque."
AAST,Aast,"Petite commune française du département des Pyrénées-Atlantiques, en Nouvelle-Aquitaine."
ABAINVILLE,Abainville,"Petite commune française du département de la Meuse, en Grand Est."
ABANCOURT,Abancourt,"Nom porté par plusieurs communes françaises, notamment dans le Nord et dans l'Oise."
ABBARETZ,Abbaretz,"Commune française du département de la Loire-Atlantique, en Pays de la Loire."
ABBECOURT,Abbécourt,"Petite commune française du département de l'Aisne, en Hauts-de-France."
ABBENANS,Abbenans,"Petite commune française du département du Doubs, en Bourgogne-Franche-Comté."
ABBEVILLE,Abbeville,"Ville et commune française du département de la Somme, en Hauts-de-France."
ABDALLAH,Abdallah,"Prénom masculin et nom de famille répandus dans le monde arabophone, signifiant « serviteur de Dieu »."
ABDELKRIM,Abdelkrim,"Prénom masculin arabe, notamment porté par Abd el-Krim el-Khattabi, meneur de la révolte du Rif contre l'Espagne et la France dans les années 1920."
ABDESLAM,Abdeslam,"Prénom masculin et nom de famille d'origine arabe, formé sur As-Salam, l'un des noms de Dieu en islam."
ABDIAS,Abdias,"Personnage de la Bible, l'un des douze petits prophètes, auquel est rattaché le plus bref livre de l'Ancien Testament."
ABEAU,Abeau,"Prénom masculin ancien, variante très rare d'Abel."
ABEL,Abel,"1) Personnage de la Genèse, second fils d'Adam et Ève, tué par son frère aîné Caïn. 2) Prénom masculin, à l'origine diminutif d'Abeau ou d'Abelin."
ABELARD,Abélard,"1) Pierre Abélard (1079-1142), philosophe, logicien et théologien français, resté célèbre pour sa liaison avec Héloïse. 2) Prénom masculin."
ABELIN,Abelin,"1) Prénom masculin ancien, diminutif d'Abel. 2) Nom de famille formé sur ce prénom."
ABERDEEN,Aberdéen,"Graphie ancienne d'Aberdeen, ville portuaire du nord-est de l'Écosse."
ABIDJAN,Abidjan,"Plus grande ville et capitale économique de la Côte d'Ivoire, sur le golfe de Guinée."
ABITIBI,Abitibi,"Région du nord-ouest du Québec, au Canada, et nom d'une municipalité régionale de comté de l'Abitibi-Témiscamingue."
ABKHAZIE,Abkhazie,"Territoire du Caucase bordant la mer Noire, à l'indépendance autoproclamée mais presque pas reconnue, tenu par la communauté internationale pour une partie de la Géorgie."
ABLON,Ablon,"1) Commune française du Calvados, en Normandie. 2) Ancien nom d'Ablon-sur-Seine, dans le Val-de-Marne. 3) Nom de famille."
ABLONS,Ablons,"Ancienne graphie d'Ablon, devenue Ablon-sur-Seine, commune du Val-de-Marne."
ABOMEY,Abomey,"1) Ville du sud du Bénin, chef-lieu du département du Zou et ancienne capitale du royaume du Dahomey. 2) Par métonymie, le Dahomey lui-même, ancien nom du Bénin."
ABOU,Abou,Prénom masculin et nom de famille répandus dans le monde arabophone et en Afrique de l'Ouest.
ABOUKIR,Aboukir,"Localité et baie d'Égypte proches d'Alexandrie, théâtre de la destruction de la flotte française par Nelson en 1798 et d'une victoire terrestre de Bonaparte en 1799."
ABRAHAM,Abraham,"1) Patriarche de la Bible, tenu pour l'ancêtre commun des juifs et des Arabes et figure majeure des trois monothéismes. 2) Prénom masculin."
ABRUZZES,Abruzzes,"1) Région administrative du centre de l'Italie, ouverte sur l'Adriatique. 2) Massif de la chaîne des Apennins qui la traverse."
ABSALOM,Absalom,"Personnage de la Bible, fils du roi David, tué après s'être soulevé contre son père."
ABSALON,Absalon,"Forme du nom biblique Absalom, fils rebelle du roi David, également porté comme prénom."
ABYSSINIE,Abyssinie,"Ancien nom de l'Éthiopie, empire d'Afrique de l'Est, employé comme exonyme jusqu'au milieu du XXe siècle."
ACADIANA,Acadiana,"Région officielle du sud de la Louisiane, aux États-Unis, cœur de la culture cadienne francophone."
ACADIE,Acadie,"1) Contrée idéale et mythique de l'Antiquité, transposition de l'Arcadie pastorale. 2) Ancienne colonie française d'Amérique du Nord, sur les côtes de l'actuel est du Canada et du nord-est des États-Unis."
ACAL,ACAL,"Sigle d'Alsace-Champagne-Ardenne-Lorraine, nom provisoire de la région issue de la réforme de 2016 et devenue le Grand Est."
ACARNANIE,Acarnanie,"Région historique de l'ouest de la Grèce, face aux îles Ioniennes."
ACC,ACC,Sigle de l'Alliance pour la conscience citoyenne.
ACCOUS,Accous,"Commune française des Pyrénées-Atlantiques, dans la vallée d'Aspe, en Nouvelle-Aquitaine."
ACEUM,ACÉUM,"Sigle de l'Accord Canada–États-Unis–Mexique, traité de libre-échange nord-américain qui a succédé à l'ALENA en 2020."
ACHAB,Achab,"Roi d'Israël dans la Bible, époux de Jézabel et adversaire du prophète Élie."
ACHAIE,Achaïe,"Région du nord du Péloponnèse, en Grèce, dont le nom fut aussi celui d'une province romaine."
ACHEMENES,Achéménès,Ancêtre éponyme et fondateur légendaire de la dynastie perse des Achéménides.
ACHERON,Achéron,"1) Fleuve des Enfers dans la mythologie grecque. 2) Par extension littéraire, la mort ou le séjour des morts."
ACHILLE,Achille,"1) Héros grec de la guerre de Troie dans l'Iliade, réputé invulnérable sauf au talon. 2) Prénom masculin d'origine grecque."
ACOUA,Acoua,"Commune française du département de Mayotte, dans le nord de l'île."
ACS,ACS,"Sigle de l'Automobile Club de Suisse, association nationale d'automobilistes."
ACTEON,Actéon,"Chasseur de la mythologie grecque, petit-fils de Cadmos, changé en cerf par Artémis puis dévoré par sa propre meute."
ACTON,Acton,"Municipalité régionale de comté de la Montérégie, au Québec, Canada."
ADAM,Adam,"1) Premier homme selon la Genèse, façonné par Dieu et placé au jardin d'Éden. 2) Prénom masculin, dont dérivent les diminutifs Adanet, Adenot, Adnet et Adnot."
ADANET,Adanet,"Nom de famille rare, issu d'un diminutif médiéval d'Adam."
